"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Marquese Chriss",4100,"PHO@SAC 12/12/2017 10:00PM ET",17.277,"PHO","SAC",19.94,20.8,21.5
"PG/SG","George Hill",4000,"PHO@SAC 12/12/2017 10:00PM ET",18.5,"SAC","PHO",18.15,18.5,36.75
"SG","Troy Daniels",3900,"PHO@SAC 12/12/2017 10:00PM ET",9.714,"PHO","SAC",16.33,17.4,16.5
"PG/SG","Frank Mason III",3900,"PHO@SAC 12/12/2017 10:00PM ET",15.711,"SAC","PHO",0,20.3,20.5
"SG/SF","Bogdan Bogdanovic",3800,"PHO@SAC 12/12/2017 10:00PM ET",18.326,"SAC","PHO",17.39,19.5,24.75
"PF/C","Gorgui Dieng",3800,"PHI@MIN 12/12/2017 09:30PM ET",15.802,"MIN","PHI",20.31,19.4,14.75
"PF/C","Richaun Holmes",3800,"PHI@MIN 12/12/2017 09:30PM ET",14.417,"PHI","MIN",5.74,17,34.75
"PG/SG","Markelle Fultz",3800,"PHI@MIN 12/12/2017 09:30PM ET",12.438,"PHI","MIN",0,0,0
"PF","Jared Dudley",3700,"PHO@SAC 12/12/2017 10:00PM ET",12.354,"PHO","SAC",13.35,12.3,0
"PG/SG","Garrett Temple",3700,"PHO@SAC 12/12/2017 10:00PM ET",16.21,"SAC","PHO",12.48,13.6,4
"SF/PF","Jakarr Sampson",3700,"PHO@SAC 12/12/2017 10:00PM ET",13.75,"SAC","PHO",0,0,0
"SG","Jamal Crawford",3600,"PHI@MIN 12/12/2017 09:30PM ET",14.981,"MIN","PHI",14.72,14.9,12
"PF/C","Amir Johnson",3600,"PHI@MIN 12/12/2017 09:30PM ET",15.896,"PHI","MIN",8.34,11.1,3.5
"PG/SG","Jerryd Bayless",3500,"PHI@MIN 12/12/2017 09:30PM ET",16.55,"PHI","MIN",9.66,15.2,9
"SF/PF","Nemanja Bjelica",3500,"PHI@MIN 12/12/2017 09:30PM ET",13.514,"MIN","PHI",0,0,0
"SG/SF","Shabazz Muhammad",3500,"PHI@MIN 12/12/2017 09:30PM ET",7.25,"MIN","PHI",0,0,0
"PG/SG","Tyus Jones",3500,"PHI@MIN 12/12/2017 09:30PM ET",12.565,"MIN","PHI",10.17,10.1,13.25
"PF/C","Skal Labissiere",3400,"PHO@SAC 12/12/2017 10:00PM ET",15.469,"SAC","PHO",12.27,13.2,13.5
"SF/PF","Dragan Bender",3400,"PHO@SAC 12/12/2017 10:00PM ET",12.268,"PHO","SAC",6.84,0,18.75
"C","Kosta Koufos",3300,"PHO@SAC 12/12/2017 10:00PM ET",15.433,"SAC","PHO",15.07,13,22.5
"SG/SF","Justin Jackson",3300,"PHO@SAC 12/12/2017 10:00PM ET",9.986,"SAC","PHO",0,0,0
"C","Alan Williams",3200,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO","SAC",0,0,0
"SG/SF","Timothe Luwawu-Cabarrot",3200,"PHI@MIN 12/12/2017 09:30PM ET",10.83,"PHI","MIN",8.01,10.1,5.75
"SG/SF","Vince Carter",3000,"PHO@SAC 12/12/2017 10:00PM ET",7.426,"SAC","PHO",5.74,7,0
"PF","Jack Cooley",3000,"PHO@SAC 12/12/2017 10:00PM ET",4.75,"SAC","PHO",0,0,0
"PG/SG","Brandon Knight",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO","SAC",0,0,0
"SG/SF","Danuel House",3000,"PHO@SAC 12/12/2017 10:00PM ET",2.75,"PHO","SAC",0,0,0
"SG/SF","Davon Reed",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO","SAC",0,0,0
"PF","Alec Peters",3000,"PHO@SAC 12/12/2017 10:00PM ET",3.75,"PHO","SAC",0,0,0
"SG/SF","Malachi Richardson",3000,"PHO@SAC 12/12/2017 10:00PM ET",6.979,"SAC","PHO",0,0,0
"C","Georgios Papagiannis",3000,"PHO@SAC 12/12/2017 10:00PM ET",6.5,"SAC","PHO",0,0,0
"PF/C","Harry Giles",3000,"PHO@SAC 12/12/2017 10:00PM ET",0,"SAC","PHO",0,0,0
"PG/SG","Aaron Brooks",3000,"PHI@MIN 12/12/2017 09:30PM ET",3.958,"MIN","PHI",0,0,0
"C","Cole Aldrich",3000,"PHI@MIN 12/12/2017 09:30PM ET",1.15,"MIN","PHI",0,0,0
"PG","Jacob Pullen",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"PHI","MIN",0,0,0
"SG/SF","Anthony Brown",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"MIN","PHI",0,0,0
"PF","James Michael McAdoo",3000,"PHI@MIN 12/12/2017 09:30PM ET",5,"PHI","MIN",0,0,0
"SG/SF","Marcus Georges-Hunt",3000,"PHI@MIN 12/12/2017 09:30PM ET",0.917,"MIN","PHI",0,0,0
"SG/SF","Justin Anderson",3000,"PHI@MIN 12/12/2017 09:30PM ET",9.875,"PHI","MIN",0,0,0
"C","Justin Patton",3000,"PHI@MIN 12/12/2017 09:30PM ET",0,"MIN","PHI",0,0,0
"SG/SF","Furkan Korkmaz",3000,"PHI@MIN 12/12/2017 09:30PM ET",3.583,"PHI","MIN",0,0,0
